CFSProbComp,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Public Service Department
Completed Work Orders by Problem Type",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Page:,1
Date:,,,01/18/2019,,,,,,,,,,,,,,,,,,
,,,,,,,,01/01/2018,,,to,,12/31/2018,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TOTALS FOR PS TYPE: PS10 Pothole,,,,,,,,,,,,,,,,,,,,,
,WO Num,,,,,                 Created,,,Completed,,,,,Organ,Ctr,WO Units,,,Weight,,
,WO-PS-18-001930,,,,,2/6/2018 3:23 PM,,,2/6/2018 12:00 AM,,,,,43172,200 ,2,,,"4,156",,
,WO-PS-18-001934,,,,,2/6/2018 3:57 PM,,,2/7/2018 12:00 AM,,,,,43174,407 ,0,,,0,,
,WO-PS-18-001935,,,,,2/6/2018 4:19 PM,,,2/13/2018 12:00 AM,,,,,43124,104 ,0.25,,,500,,
,WO-PS-18-002055,,,,,2/8/2018 8:23 AM,,,2/6/2018 12:00 AM,,,,,43176,604 ,1,,,1,,
,WO-PS-18-002067,,,,,2/8/2018 8:51 AM,,,2/12/2018 12:00 AM,,,,,43124,309 ,1,,,"2,000",,
,WO-PS-18-002071,,,,,2/8/2018 9:16 AM,,,2/9/2018 12:00 AM,,,,,43174,103 ,0,,,0,,
,WO-PS-18-002072,,,,,2/8/2018 9:22 AM,,,2/9/2018 12:00 AM,,,,,43174,405 ,0,,,0,,
,WO-PS-18-002093,,,,,2/8/2018 1:23 PM,,,2/13/2018 12:00 AM,,,,,43124,509 ,0.25,,,500,,
,WO-PS-18-002102,,,,,2/8/2018 2:21 PM,,,2/8/2018 12:00 AM,,,,,43175,507 ,1.1,,,"2,131",,
,WO-PS-18-002110,,,,,2/8/2018 4:05 PM,,,2/9/2018 12:00 AM,,,,,43176,604 ,0,,,0,,
,WO-PS-18-002120,,,,,2/9/2018 7:12 AM,,,2/8/2018 12:00 AM,,,,,43172,209 ,2.12,,,"4,236",,
,WO-PS-18-002129,,,,,2/9/2018 7:31 AM,,,2/12/2018 12:00 AM,,,,,43175,506 ,1.1,,,"2,120",,
,WO-PS-18-002144,,,,,2/9/2018 9:08 AM,,,2/12/2018 12:00 AM,,,,,43124,309 ,1,,,"2,000",,
,WO-PS-18-002151,,,,,2/9/2018 11:18 AM,,,2/12/2018 12:00 AM,,,,,43171,101 ,0,,,0,,
,WO-PS-18-002168,,,,,2/9/2018 1:56 PM,,,2/12/2018 12:00 AM,,,,,43172,201 ,3,,,0,,
,WO-PS-18-002191,,,,,2/12/2018 7:54 AM,,,2/9/2018 12:00 AM,,,,,43172,200 ,1.07,,,"2,135",,
,WO-PS-18-002199,,,,,2/12/2018 8:39 AM,,,2/8/2018 12:00 AM,,,,,43176,605 ,1,,,1,,
